Document_id,Tweet,Sentiment
1,"The silence from @JGreenblattADL, @ADL, @GovMurphy, and the demoKKKratic party #kapos is deafening cuz to them, onl… https://t.co/sxikgcaQz1",Neutral
2,"April is #NationalArabAmericanHeritageMonth. It's a time for celebrating the history, contributions, and culture of… https://t.co/5cl0pMVMV0",positive
3,"—

Marc Andreesen (he/him)
Click here to donate to #BlackLivesMatter https://t.co/8gFwnjWMYj",positive
4,"#BlackLivesMatter buys church and removes white doctrines to set blacks free.

#MLK #BLMScam #Religions #ScamAlert https://t.co/lSq2KBdHSG",positive
5,"Say their name. Glenn Lewis, 2015-02-25 #BlackLivesMatter.",Neutral
6,ding DING* ding. ding! Ding &amp; ding DING! DING. DING^ #PennState #BlackLivesMatter #JusticeForAll,Neutral
7,Check out what I just listed on Mercari. Tap the link to sign up and get up to $30 off. #BlackLivesMatter… https://t.co/PctZkUgniy,Neutral
8,"#History | #Alaska | Welcome to the traditional homelands of the Tlingit, Haida and Tsimshian.

#wtpBLUE #Demvoice1… https://t.co/2reyjAvfz8",Neutral
9,"#BlackLivesMatter 

Pretty sure he looks jst like me❤🎮❤ https://t.co/4zQLiLpb9g",Neutral
10,"https://t.co/JsriYVNb3w
As long as you can put a colour on those faces of despair that look up at us from the botto… https://t.co/oy6KUJLQVK",Neutral
11,#EqualityAndJustice #BlackLivesMatter #AmericanHistoryNow IM NOT HAPPY about this..but oooh a slap!! https://t.co/vWo7dB4lyA,Neutral
12,#Maddow #Bitcoin #CNN #ElizabethWarren #Manchin #Covid_19 #MSNBC #GreenNewDeal #NYC #BlackLivesMatter #AOC… https://t.co/JgOpj1K4ba,Neutral
13,"#History | #Alaska | Welcome to the traditional homelands of the Tlingit, Haida and Tsimshian.

#wtpBLUE #Demvoice1… https://t.co/aJpmPW60pk",Neutral
14,Chris Lawrencethis is drsharisse.  Please come to our Texas Jam Health Fair-#blacklivesmatter #implicitbias… https://t.co/nkZLAjJpwJ,positive
15,Susanne Brunner this is drsharisse.  Please come to our Texas Jam Health Fair-#blacklivesmatter #implicitbias… https://t.co/efGI1Mfout,Neutral
16,"#PBS | PBS News Weekend full episode, April 10, 2022

#wtpBLUE #Demvoice1 #Americans #ONEV1 #FreshResists… https://t.co/j65OcaSH5g",Neutral
17,@DemondFernandez this is drsharisse.  Please come to our Texas Jam Health Fair-#blacklivesmatter #implicitbias… https://t.co/J1HCaxKKxc,Neutral
18,Hannah Davis this is drsharisse.  Please come to our Texas Jam Health Fair-#blacklivesmatter #implicitbias… https://t.co/1G1ZdK2Q4h,Neutral
19,@MaliniBasu_ this is drsharisse.  Please come to our Texas Jam Health Fair-#blacklivesmatter #implicitbias… https://t.co/vp2ZOOLeEF,Neutral
20,@materialwhxre WE NEED MORE BLACK GAYS! Because #BlackLivesMatter,Neutral
21,#metoo #BlackLivesMatter #TransLivesMatter I see how insular you people are. #trustingay #Harem! #TmesUp child sex… https://t.co/Kf4qSGoEoO,Neutral
22,@SoniaAzadTV this is drsharisse.  Please come to our Texas Jam Health Fair-#blacklivesmatter #implicitbias… https://t.co/pQFQ6SrrM0,Neutral
23,"Endless purity : 0.25Eth
What's on your mind : 0.28Eth
See no evil, hear no evil, speak no evil : 0.31Eth

👉… https://t.co/z6SSHDjBQM",Neutral
24,"Yup. Black people EVERY day. That’s why we should ALL be in solidarity, ALWAYS. As a Black Person, a woman, an ally… https://t.co/av2UA2PTVw",Neutral
25,Kalief Browder   #SayTheirNames #BlackLivesMatter,Neutral
26,"Fri Jul 17 2020 Chicago, Illinois - Violent arrests made in Grant Park WATCH: https://t.co/JblvikvM98… https://t.co/kD8R3T6CbT",Neutral
27,"DOUBLE HEADER: 
@ #MusicVideos find
https://t.co/G2pA5hiaRf

#BlackLivesMatter to the 
#ClimateCrisis * 
emissions… https://t.co/23WHgiAvn7",Neutral
28,"@DanRather #BlackLivesMatter #HERstory #ShePersisted #TeamAmerica 🇺🇸

#FristBlackWomanFirstLady
#FirstBlackWomanVP… https://t.co/Ahw2xZD8P5",Neutral
29,Breonna Taylor deserves a permanent installation. Sign the @Change petition in honor of her family:… https://t.co/pwY0GglfDf,Neutral
30,"For those of you who are still #BLM believers, y'all need HELP. 

#BlackLivesMatter #BlackTwitter https://t.co/fvqkihgVrl",Neutral
31,"Thanks so much for the support
I appreciate all of you guys.
You all are the best..
 #supportblackbusiness
#support… https://t.co/okDYFh8JFD",positive
32,"#POTUS 
#SCOTUS 
#GOP 
#DNC 
#FoxNews 
#CNN 
#Antifa 
#BlackLivesMatter 
#PONTIFEX 
#CopelandNetwork 
#UN 
#NATO… https://t.co/Z0nyxh5Z0p",positive
33,@cgreeneWFAA this is drsharisse.  Please come to our Texas Jam Health Fair-#blacklivesmatter #implicitbias… https://t.co/gHqCIkH54O,Neutral
34,"#POTUS 
#SCOTUS 
#GOP 
#DNC 
#FoxNews 
#CNN 
#Antifa 
#BlackLivesMatter 
#PONTIFEX 
#CopelandNetwork 
#UN 
#NATO… https://t.co/oCRORHPQ0t",Neutral
35,Michael Brown Jr.  #BlackLivesMatter,Neutral
36,"@MarshaBlackburn #CRT | Why Do We Have Different Skin, Hair and Eye Color?

#wtpBLUE #Demvoice1 #Americans #ONEV1… https://t.co/oLgjHGIJQB",Neutral
37,"@SO_ca_LoVE @MichaelEMann @Marriott lol

you sure this is the argument you want to make, with #blacklivesmatter in… https://t.co/hUZJe0wWOe",Neutral
38,@MarshaBlackburn #CRT | The Colonials are still trying to indoctrinate us into their culture after 400+ years.  Hav… https://t.co/K45Td5PlKr,Neutral
39,"#POTUS 
#SCOTUS 
#GOP 
#DNC 
#FoxNews 
#CNN 
#Antifa 
#BlackLivesMatter 
#PONTIFEX 
#CopelandNetwork 
#UN 
#NATO… https://t.co/HVLvSlxCkJ",Neutral
40,"@MarshaBlackburn #CRT | What Is Critical Race Theory, and Why Is It Under Attack? 

#wtpBLUE #Demvoice1 #Americans… https://t.co/v1MNPCsKV9",Neutral
41,Lol fact check this nazibook!  #comedy #funny #jokes #livealittle #haha #happy #relax #smile #life #live #goodtimes… https://t.co/eQ9VoUzUOb,Neutral
42,#BlackLivesMatter (BLM) co-founder #PatrisseCullors has spoken against a report that reveals her organization’s pur… https://t.co/czE1DS7Vxo,Neutral
43,"The #murderhornets 🎶 🎵,  every 🎵 🎶 song is #musictobemurderedby #themassacre #makingamurderer #murderwasthecase… https://t.co/ZArcBzQvTW",Neutral
44,"Is the Christians &amp; Gentiles now Cursed? 
Was the Curse Tablet found in Israel a reverse of the Curse on Yahsra'el… https://t.co/ik4i2URMGM",Neutral
45,"ding... Ding. ding, ding* ding, ding, ding* DING! #PennState #BlackLivesMatter #JusticeForAll",Neutral
46,"🟥⬛️🟩DID YOU KNOW?
Nigeria-Born Tope Awotona Poured His Life Savings Into Calendly. Now He’s One Of America’s Wealth… https://t.co/hJ5QUyKTQg",Neutral
47,"@summerofsoul Such a wonderful film. Amazing talent, amazing message. Everyone must watch.
#SummerOfSoul ❤
#BlackLivesMatter",Neutral
48,The BLM org was all a scam. Who knew that a self described Marxist organization that strived off of corporate spons… https://t.co/en6UFO6HAK,Neutral
49,Looking for a fast-paced thriller with a little bit of romance? Pick up my seventh novel now available on Amazon an… https://t.co/iyVncRBjna,Neutral
50,@nxbaafnkln I don’t look at skin color. But I support those I can help. I am sorry that even though I heard the nam… https://t.co/EFafMh1cjO,Neutral
51,"@GOP @MichelleSteelCA @YoungKimCA #History | Asian American Lynching by Anglo-Saxons
Republican White Nationalists… https://t.co/LBENXLFfqE",Neutral
52,"@gnfskz @sixthirtied Attention 🚨⚠️ 

Go .@lipaisbaddie account and liked alll tweets❗ you will get 10000000 million… https://t.co/Pcy9mqQX2m",Neutral
53,Clearly it's neither safe to be #Black nor speak up for Blacks yet I'll still say #BlackLivesMatter,Neutral
54,"Sun May 31 2020 DC, Washington DC - Police tear gas protesters outside of Lafayette Square WATCH:… https://t.co/Ckd7Gq7LXj",Neutral
55,"@gnfskz Attention 🚨⚠️ 

Go .@lipaisbaddie account and liked alll tweets❗ you will get 10000000 million dollars 💵 
i… https://t.co/r41mw748EO",Neutral
56,"@GOP Families separated at border under Trump suffering severe trauma – study 

#wtpBLUE #Demvoice1 #Americans… https://t.co/VURYIe3XsU",positive
57,Excellent explanation by President @rweingarten about CRT and the attempt to whitewash our history by discrediting… https://t.co/jWx3IbYd7O,Neutral
