S.NO,tweet,sentiment
0,silenc jgreenblattadl adl govmurphi demokkkrat parti kapo deafen cuz onl httpstcosxikgcaqz1,negative
1,hope enjoy day selfcaresunday stargaz believermagick httpstcoet8udm2m2o,negative
2,april nationalarabamericanheritagemonth time celebr histori contribut cultur httpstco5cl0pmvmv0,positive
3,marc andreesen hehim click donat blacklivesmatt httpstco8gfwnjwmyj,negative
4,blacklivesmatt buy church remov white doctrin set black free mlk blmscam religion scamalert httpstcolsq2kbdhsg,positive
5,say name glenn lewi 20150225 blacklivesmatt,negative
6,ding ding ding ding ding amp ding ding ding ding pennstat blacklivesmatt justiceforal,negative
7,check list mercari tap link sign get 30 blacklivesmatt httpstcopctzkugniy,positive
8,histori alaska welcom tradit homeland tlingit haida tsimshian wtpblue demvoice1 httpstco2reyjavfz8,positive
9,blacklivesmatt pretti sure look jst like httpstco4zqlilpb9g,positive
10,httpstcojsriyvnb3w long put colour face despair look u botto httpstcooy6kujlqvk,positive
11,equalityandjustic blacklivesmatt americanhistorynow im happi thisbut oooh slap httpstcovwo7db4lya,positive
12,maddow bitcoin cnn elizabethwarren manchin covid 19 msnbc greennewd nyc blacklivesmatt aoc httpstcojgopj1k4ba,positive
13,histori alaska welcom tradit homeland tlingit haida tsimshian wtpblue demvoice1 httpstcoajpmpw60pk,negative
14,chri lawrencethi drshariss plea come texa jam health fairblacklivesmatt implicitbia httpstconkzlajjpwj,negative
15,susann brunner drshariss plea come texa jam health fairblacklivesmatt implicitbia httpstcoefgi1mfout,negative
16,pb pb news weekend full episod april 10 2022 wtpblue demvoice1 american onev1 freshresist httpstcoj65ocash5g,negative
17,demondfernandez drshariss plea come texa jam health fairblacklivesmatt implicitbia httpstcoj1hcaxkkxc,negative
18,hannah davi drshariss plea come texa jam health fairblacklivesmatt implicitbia httpstco1g1zdk2q4h,negative
19,malinibasu drshariss plea come texa jam health fairblacklivesmatt implicitbia httpstcovp2zooleef,negative
20,materialwhxr need black gay blacklivesmatt,positive
21,metoo blacklivesmatt translivesmatt see insular peopl trustingay harem tmesup child sex httpstcokf4qsgoeoo,positive
22,soniaazadtv drshariss plea come texa jam health fairblacklivesmatt implicitbia httpstcopqfq6srrm0,positive
23,endless puriti 025eth what mind 028eth see evil hear evil speak evil 031eth httpstcoz6sshdjbqm,positive
24,yup black peopl everi day solidar alway black person woman alli httpstcoav2ua2ptvw,positive
